Frame,X,Y,Time
3575,646,280,00:01:59.28583333333333
3585,806,212,00:01:59.6195
3595,664,278,00:01:59.953166666666675
3605,658,262,00:02:00.28683333333333394
3619,508,212,00:02:00.7539666666666704
3630,508,212,00:02:01.1209999999999951
3640,806,212,00:02:01.454666666666668
3650,508,212,00:02:01.788333333333327
3666,806,212,00:02:02.322199999999995
3676,806,212,00:02:02.655866666666668
3686,508,212,00:02:02.989533333333341
3700,508,212,00:02:03.4566666666666777
3710,486,308,00:02:03.7903333333333222
3721,806,212,00:02:04.157366666666675
3731,806,212,00:02:04.491033333333334
3754,806,212,00:02:05.258466666666678
3769,676,290,00:02:05.75896666666668
3782,508,212,00:02:06.1927333333333365
3792,790,234,00:02:06.5264000000000095
3802,510,212,00:02:06.860066666666668
3812,510,212,00:02:07.193733333333341
3822,806,212,00:02:07.527400000000014
3844,806,212,00:02:08.261466666666678
3856,806,212,00:02:08.661866666666668
3870,806,212,00:02:09.12899999999999
3881,510,212,00:02:09.496033333333344
3912,840,310,00:02:10.530400000000014
3922,842,324,00:02:10.864066666666673
3957,510,212,00:02:12.031900000000007
3967,842,284,00:02:12.365566666666666
3977,510,212,00:02:12.699233333333325
3987,510,212,00:02:13.032899999999984
3997,530,184,00:02:13.366566666666671
4007,510,212,00:02:13.70023333333333
4017,806,212,00:02:14.033899999999988
4027,800,158,00:02:14.367566666666676
4037,806,212,00:02:14.701233333333334
4050,510,212,00:02:15.134999999999991
4062,806,212,00:02:15.535399999999981
4072,806,212,00:02:15.869066666666669
4092,806,212,00:02:16.536399999999986
4103,578,226,00:02:16.90343333333334
4125,806,212,00:02:17.63749999999999
4138,806,212,00:02:18.071266666666673
4160,732,308,00:02:18.80533333333335
4172,634,160,00:02:19.20573333333334
4188,568,248,00:02:19.739599999999996
4209,806,212,00:02:20.44029999999998
4226,802,260,00:02:21.007533333333328
4239,804,256,00:02:21.441299999999984
4251,714,284,00:02:21.841700000000003
4261,510,212,00:02:22.175366666666662
4271,508,212,00:02:22.50903333333332
4281,508,212,00:02:22.842700000000008
4292,506,212,00:02:23.209733333333332
4302,504,182,00:02:23.54339999999999
4312,628,248,00:02:23.87706666666668
4323,830,130,00:02:24.244100000000003
4334,530,168,00:02:24.611133333333328
4372,510,212,00:02:25.879066666666688
4382,806,212,00:02:26.212733333333347
4392,806,212,00:02:26.546400000000006
4402,750,240,00:02:26.880066666666693
4424,510,212,00:02:27.614133333333342
4441,808,134,00:02:28.181366666666662
4451,808,210,00:02:28.51503333333332
4474,510,212,00:02:29.282466666666664
4486,654,236,00:02:29.682866666666655
4501,540,212,00:02:30.18336666666667
4521,510,212,00:02:30.850700000000018
4531,806,212,00:02:31.184366666666676
4544,806,212,00:02:31.618133333333333
4576,806,212,00:02:32.68586666666667
