Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
1,13,2184,834,288,00:01:12.872799999999998,,
1,13,2194,798,258,00:01:13.206466666666671,,
1,13,2209,800,256,00:01:13.706966666666673,,
1,13,2219,800,254,00:01:14.040633333333332,,
1,13,2256,798,252,00:01:15.275199999999998,,
1,13,2268,798,254,00:01:15.675600000000003,A,0
1,14,2308,546,452,00:01:17.010266666666666,,
1,14,2389,522,134,00:01:19.712966666666674,,
1,14,2408,490,308,00:01:20.34693333333334,,
1,14,2428,480,288,00:01:21.014266666666657,,
1,14,2438,474,240,00:01:21.34793333333333,,
1,14,2448,470,286,00:01:21.681600000000003,A,0
1,15,2472,490,290,00:01:22.482400000000013,,
1,15,2484,482,282,00:01:22.882800000000003,,
1,15,2499,492,292,00:01:23.383300000000006,,
1,15,2511,518,224,00:01:23.783699999999996,,
1,15,2523,532,270,00:01:24.1841,,
1,15,2564,824,302,00:01:25.55213333333333,,
1,15,2582,828,226,00:01:26.15273333333333,,
1,15,2598,848,226,00:01:26.686600000000013,A,0
1,16,2626,594,286,00:01:27.62086666666667,,
1,16,2643,648,286,00:01:28.188100000000006,,
1,16,2670,824,278,00:01:29.089,,
1,16,2694,770,132,00:01:29.889800000000008,,
1,16,2711,578,128,00:01:30.457033333333342,,
1,16,2722,502,224,00:01:30.824066666666667,,
1,16,2737,456,288,00:01:31.32456666666667,,
1,16,2754,470,312,00:01:31.891800000000003,,
1,16,2767,452,272,00:01:32.32556666666666,,
1,16,2778,440,224,00:01:32.6926,,
1,16,2792,424,316,00:01:33.159733333333335,A,0
1,17,2823,812,300,00:01:34.194100000000006,,
1,17,2837,818,300,00:01:34.66123333333334,,
1,17,2856,830,308,00:01:35.295199999999994,,
1,17,2916,750,136,00:01:37.297200000000004,,
1,17,2936,556,320,00:01:37.964533333333335,,
1,17,2951,520,272,00:01:38.46503333333334,,
1,17,2963,510,298,00:01:38.86543333333333,,
1,17,2979,494,294,00:01:39.3993,,
1,17,2993,890,172,00:01:39.86643333333333,,
1,17,3018,512,232,00:01:40.70060000000001,,
1,17,3029,486,310,00:01:41.06763333333333,,
1,17,3048,494,284,00:01:41.7016,A,0
1,18,3067,526,218,00:01:42.335566666666665,,
1,18,3078,510,278,00:01:42.702600000000004,,
1,18,3132,518,222,00:01:44.504400000000004,,
1,18,3145,464,182,00:01:44.938166666666675,,
1,18,3160,800,256,00:01:45.43866666666668,,
1,18,3176,904,318,00:01:45.972533333333345,,
1,18,3190,798,256,00:01:46.43966666666667,,
1,18,3206,798,256,00:01:46.973533333333336,A,0
1,19,3231,798,256,00:01:47.8077,,
1,19,3244,798,256,00:01:48.24146666666667,,
1,19,3254,586,240,00:01:48.575133333333326,,
1,19,3269,800,254,00:01:49.07563333333333,,
1,19,3281,656,442,00:01:49.47603333333333,,
1,19,3296,588,154,00:01:49.976533333333336,,
1,19,3323,416,256,00:01:50.87743333333333,,
1,19,3333,476,294,00:01:51.2111,,
1,19,3343,532,278,00:01:51.54476666666666,,
1,19,3355,688,282,00:01:51.945166666666665,A,0
1,20,3376,798,292,00:01:52.64586666666666,,
1,20,3409,800,254,00:01:53.74696666666668,,
1,20,3424,668,148,00:01:54.24746666666667,,
1,20,3446,800,256,00:01:54.981533333333346,,
1,20,3476,798,256,00:01:55.982533333333336,,
1,20,3487,886,172,00:01:56.34956666666666,,
1,20,3503,798,262,00:01:56.88343333333333,,
1,20,3513,778,188,00:01:57.2171,,
1,20,3524,532,392,00:01:57.58413333333333,B,1
1,21,3609,750,456,00:02:00.42029999999999745,,
1,21,3623,622,302,00:02:00.887433333333334,,
1,21,3652,838,156,00:02:01.8550666666666586,,
1,21,3670,588,298,00:02:02.455666666666673,,
1,21,3692,484,300,00:02:03.1897333333333364,A,0
1,22,3710,488,308,00:02:03.7903333333333222,,
1,22,3733,504,298,00:02:04.557766666666666,,
1,22,3761,636,156,00:02:05.492033333333339,,
1,22,3777,738,138,00:02:06.025900000000007,,
1,22,3789,784,238,00:02:06.426299999999998,,
1,22,3803,802,284,00:02:06.893433333333334,,
1,22,3828,830,308,00:02:07.72760000000001,,
1,22,3847,852,200,00:02:08.361566666666675,A,0
2,1,3899,858,234,00:02:10.09663333333333,,
2,1,3914,842,306,00:02:10.597133333333318,,
2,1,3978,798,252,00:02:12.73260000000002,,
2,1,3996,904,300,00:02:13.333200000000005,B,0
2,2,4019,798,256,00:02:14.10063333333332,,
2,2,4040,550,190,00:02:14.801333333333332,,
2,2,4058,868,164,00:02:15.401933333333346,,
2,2,4069,902,160,00:02:15.768966666666671,,
2,2,4100,684,430,00:02:16.80333333333334,,
2,2,4119,654,448,00:02:17.437299999999993,,
2,2,4135,624,446,00:02:17.971166666666647,,
2,2,4145,660,374,00:02:18.304833333333335,,
2,2,4155,712,328,00:02:18.638499999999993,,
2,2,4166,754,310,00:02:19.005533333333318,,
2,2,4176,684,276,00:02:19.339200000000005,,
2,2,4186,584,244,00:02:19.672866666666664,,
2,2,4196,508,300,00:02:20.006533333333323,,
2,2,4210,740,310,00:02:20.473666666666645,,
2,2,4222,800,294,00:02:20.874066666666693,,
2,2,4238,806,248,00:02:21.407933333333347,,
2,2,4250,728,252,00:02:21.808333333333337,,
2,2,4264,524,304,00:02:22.275466666666688,,
2,2,4276,798,258,00:02:22.67586666666668,,
2,2,4300,508,174,00:02:23.47666666666666,,
2,2,4310,504,176,00:02:23.810333333333347,,
2,2,4320,798,256,00:02:24.144000000000005,,
2,2,4333,870,132,00:02:24.577766666666662,,
2,2,4343,628,430,00:02:24.91143333333335,B,0
2,3,4382,706,262,00:02:26.212733333333347,,
2,3,4398,620,440,00:02:26.7466,,
2,3,4410,662,442,00:02:27.14699999999999,,
2,3,4421,652,468,00:02:27.514033333333316,,
2,3,4444,808,166,00:02:28.281466666666688,,
2,3,4454,616,278,00:02:28.61513333333332,,
2,3,4474,800,256,00:02:29.282466666666664,,
2,3,4498,798,256,00:02:30.083266666666674,,
2,3,4509,800,256,00:02:30.4503,B,0
2,4,4521,798,256,00:02:30.850700000000018,,
2,4,4534,732,268,00:02:31.284466666666674,,
2,4,4552,888,314,00:02:31.885066666666688,,
2,4,4574,800,256,00:02:32.61913333333334,,
2,4,4588,692,314,00:02:33.08626666666666,,
2,4,4615,858,148,00:02:33.98716666666667,,
2,4,4647,798,256,00:02:35.0549,,
2,4,4675,558,262,00:02:35.98916666666665,B,0
2,5,4697,672,424,00:02:36.723233333333326,,
2,5,4721,654,446,00:02:37.524033333333335,,
2,5,4735,614,162,00:02:37.99116666666666,,
2,5,4766,476,246,00:02:39.02553333333333,,
2,5,4777,494,294,00:02:39.39256666666668,,
2,5,4789,530,294,00:02:39.79296666666667,,
2,5,4802,622,298,00:02:40.22673333333333,,
2,5,4814,730,328,00:02:40.62713333333332,,
2,5,4834,812,308,00:02:41.294466666666665,,
2,5,4846,820,308,00:02:41.694866666666655,,
2,5,4856,702,262,00:02:42.028533333333314,,
2,5,4872,562,322,00:02:42.5624,,
2,5,4925,594,280,00:02:44.330833333333345,,
2,5,4943,798,256,00:02:44.93143333333336,,
2,5,4974,540,208,00:02:45.96580000000003,B,0
2,6,4986,694,236,00:02:46.36620000000002,,
2,6,4996,784,312,00:02:46.69986666666668,,
2,6,5017,852,312,00:02:47.40056666666669,,
2,6,5045,800,254,00:02:48.334833333333336,,
2,6,5074,894,182,00:02:49.302466666666675,,
2,6,5123,574,458,00:02:50.93743333333336,,
2,6,5137,688,178,00:02:51.40456666666668,,
2,6,5163,772,160,00:02:52.272099999999995,,
2,6,5195,446,278,00:02:53.33983333333333,B,0
