rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
1,1,00:00:20.767000,623,A,1.0,發長球,,1.0,A2,227,298,2,,,0,0,,A2,281.0,860.0,1.0,1000.0,274,294,277,193,272.0,140.0,378.0,939.0,40.0,30.0,90.0,20.0,1.5,39.25,39.27865196261195,27.25,24.5,36.64440612153511,0.1375081815747703,101.04454463255303,0,1,0,0,1,0,0,0
1,2,00:00:21.733000,652,B,,殺球,,,A2,281,860,1,,,0,0,,C2,358.0,148.0,2.0,1000.0,272,140,378,939,268.0,137.0,386.0,95.0,10.0,20.0,50.0,40.0,37.75,10.5,39.18306394349477,26.25,11.0,28.46159693341187,0.008127456893491073,806.0006203471559,1,0,0,0,0,1,0,0
1,3,00:00:22.100000,663,A,,未擊球,,,C2,358,148,2,落地,對手前一顆質量差,0,1,B,,,,,11000.0,268,137,386,95,423.0,182.0,273.0,983.0,10.0,20.0,80.0,0.0,10.25,40.5,41.77693741767101,7.000000000000001,35.0,35.6931365951495,0.025815181795042837,125.25174649480941,0,1,0,0,1,0,0,0
2,1,00:00:33.300000,999,B,1.0,發小球,,1.0,A2,174,646,2,,,0,1,,A2,241.0,293.0,2.0,1000.0,423,182,273,983,309.0,299.0,414.0,235.0,10.0,90.0,60.0,50.0,39.75,17.25,43.33157047696287,28.499999999999996,43.75,52.21410250114427,0.2928566202085929,814.9239228296099,1,0,0,0,0,1,0,0
2,2,00:00:34,1020,A,,放小球,,1.0,A2,241,293,2,,,0,1,,C1,74.0,562.0,2.0,0.0,309,299,414,235,264.0,251.0,159.0,808.0,60.0,30.0,70.0,30.0,43.5,38.25,57.92505934394889,58.25,40.75,71.08885285331309,0.5152717729509351,122.96747537458837,0,1,0,0,1,0,0,0
2,3,00:00:34.800000,1044,B,,放小球,,1.0,C1,74,562,2,,,0,1,,B1,92.0,423.0,2.0,1000.0,264,251,159,808,135.0,452.0,181.0,398.0,10.0,70.0,60.0,20.0,39.75,231.74999999999997,235.13427015218346,13.5,115.5,116.28628465988584,0.4684122116256151,566.8103739347049,1,0,0,0,1,0,0,0
2,4,00:00:35.767000,1073,A,,挑球,,,B1,92,423,2,,,0,1,,A4,148.0,942.0,2.0,2000.0,135,452,181,398,105.0,1178.0,105.0,1270.0,10.0,20.0,90.0,0.0,20.25,59.49999999999999,62.85151151722605,34.75,142.5,146.67587565785996,0.03318969050105101,70.9365914038728,1,0,0,0,0,0,0,1
2,5,00:00:37.567000,1127,B,,未擊球,,,A4,148,942,2,出界,對手失誤,0,2,B,,,,,10000.0,105,1178,105,1270,216.0,214.0,320.0,968.0,40.0,10.0,30.0,80.0,23.499999999999996,194.75,196.1627194448527,28.249999999999996,243.0,244.63659272480064,0.17631931261209022,92.0,0,0,0,1,1,0,0,0
3,1,00:00:47.133000,1414,B,1.0,發小球,,1.0,A2,192,648,2,,,0,2,,A1,141.0,366.0,2.0,0.0,216,214,320,968,199.0,399.0,218.0,298.0,50.0,80.0,60.0,0.0,8.75,27.0,28.382432947159412,1.0,17.5,17.528548142958105,0.04904079934095692,761.1386207518312,1,0,0,0,1,0,0,0
3,2,00:00:47.733000,1432,A,,放小球,,,A1,141,366,2,,,0,2,,A1,218.0,581.0,2.0,1000.0,199,399,218,298,251.0,322.0,316.0,898.0,30.0,0.0,70.0,90.0,13.25,120.0,120.72929429098804,11.749999999999998,87.74999999999999,88.53318586835108,0.41849761050691797,102.77159140540736,1,0,0,0,1,0,0,0
