rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
3,1,00:25:54.633000,46639,A,1.0,發小球,,1.0,A1,199,588,2,,,2,0,,A1,142.0,359.0,2.0,1000.0,324,929,213,260,320.0,936.0,293.0,1012.0,30.0,20.0,0.0,30.0,20.75,2.0,20.846162716432968,37.5,19.25,42.15225379502263,0.12401008023543893,678.1460019789249,1,0,0,0,0,0,0,1
3,2,00:25:55.333000,46660,B,,挑球,,,A1,142,359,2,,,2,0,,B3,344.0,866.0,1.0,1000.0,320,936,293,1012,407.0,921.0,363.0,183.0,10.0,0.0,0.0,40.0,32.75,60.0,68.35614456652745,57.49999999999999,51.0,76.85863646982035,0.28611929330263625,80.65358020571685,0,0,0,1,1,0,0,0
3,3,00:25:56.633000,46699,A,,殺球,,,B3,344,866,1,,,2,0,,C2,321.0,176.0,2.0,1000.0,407,921,363,183,451.0,1176.0,523.0,1216.0,60.0,30.0,0.0,70.0,1.5,13.25,13.334635353094587,7.5,3.25,8.173891362135908,0.04664761515876241,739.310489577958,1,0,0,0,0,0,0,1
3,4,00:25:57.033000,46711,B,,擋小球,,1.0,C2,321,176,2,,,2,0,,A1,270.0,508.0,2.0,0.0,451,1176,523,1216,413.0,974.0,333.0,170.0,10.0,0.0,30.0,70.0,34.75,45.0,56.85562856921028,74.25,48.25,88.55012704677503,0.2868906586140441,82.365041127896,0,0,0,1,1,0,0,0
3,5,00:25:57.933000,46738,A,,挑球,,1.0,A1,270,508,2,,,2,0,,B3,86.0,52.0,1.0,2000.0,413,974,333,170,312.0,996.0,226.0,1023.0,20.0,60.0,90.0,90.0,46.99999999999999,11.0,48.27007354458868,12.75,27.750000000000004,30.538909607253494,0.14243068489619784,807.970296483726,1,0,0,0,0,0,0,1
3,6,00:25:59.233000,46777,B,,切球,,,B3,86,52,1,,,2,0,,C1,83.0,530.0,2.0,0.0,312,996,226,1023,225.0,930.0,282.0,59.0,0.0,10.0,10.0,40.0,7.5,5.25,9.154916711800277,10.25,4.0,11.002840542332693,0.035587919298548494,90.13878188659973,0,0,0,1,1,0,0,0
3,7,00:25:59.933000,46798,A,,挑球,,1.0,C1,83,530,2,,,2,0,,A3,299.0,47.0,1.0,2000.0,225,930,282,59,342.0,1017.0,267.0,1007.0,0.0,60.0,70.0,90.0,42.5,21.5,47.62877281643944,44.25,0.25,44.25070620905388,0.1786295048417254,872.863104959764,1,0,0,0,0,0,0,1
3,8,00:26:01.133000,46834,B,,殺球,1.0,,A3,299,47,1,,,2,0,,B3,328.0,885.0,2.0,0.0,342,1017,267,1007,395.0,1016.0,459.0,58.0,50.0,80.0,20.0,0.0,41.25,10.5,42.56539087098813,19.5,17.5,26.2011450131478,0.014082562251124144,75.66372975210778,0,0,0,1,1,0,0,0
3,9,00:26:01.833000,46855,A,,未擊球,,,B3,328,885,2,落地,殺球精準,2,1,B,,,,,19000.0,395,1016,459,58,177.0,975.0,189.0,937.0,50.0,70.0,60.0,30.0,41.25,33.25,52.98230836798261,33.5,33.25,47.199708685541694,0.01495,960.135407117142,1,0,0,0,0,0,0,1
4,1,00:26:20.700000,47421,B,1.0,發小球,,1.0,A2,251,301,2,,,2,1,,A1,176.0,508.0,2.0,1000.0,177,975,189,937,230.0,883.0,325.0,191.0,70.0,20.0,90.0,80.0,19.25,12.0,22.683970111071826,9.75,12.0,15.461646096066229,0.058,39.84971769034255,0,0,0,1,1,0,0,0
