hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
2,3,1,3,2,2,3,3,3,3,30.903,cut
2,2,2,2,4,1,3,2,2,2,27.025,lob
3,4,1,2,1,2,2,2,2,3,33.355,cut
3,1,2,4,1,0,3,3,3,2,9.449,netplay
2,2,2,3,1,2,3,2,2,2,26.543,netplay
2,1,2,3,4,1,3,2,2,2,24.656,lob
2,4,1,3,3,1,3,3,3,3,36.823,long
2,3,1,3,2,0,2,2,2,3,53.655,smash
3,2,2,2,1,2,2,2,3,2,27.08,netplay
3,1,2,2,4,1,3,2,3,2,25.639,lob
3,4,1,3,3,1,2,3,2,3,71.287,long
2,3,1,2,2,2,2,2,2,3,34.32,cut
3,2,2,2,1,2,2,2,2,3,15.515,netplay
3,1,2,3,1,2,2,2,3,2,8.564,netplay
2,1,2,2,4,1,3,1,3,2,16.562,lob
3,4,1,3,2,2,3,2,3,3,57.377,cut
2,2,2,3,1,2,2,2,3,3,18.02,netplay
2,1,2,3,4,1,2,2,2,2,21.38,lob
2,4,1,3,3,1,3,2,3,3,42.165,long
2,3,1,3,4,1,2,2,2,4,24.895,long
2,4,1,3,4,0,3,4,3,3,31.418,long
2,2,2,3,1,2,3,2,2,2,27.362,netplay
2,1,2,3,1,2,3,2,2,2,15.41,netplay
2,1,2,3,4,1,3,1,3,2,19.435,lob
2,4,1,2,4,1,2,2,2,5,34.703,long
3,4,1,3,2,2,2,2,2,3,38.465,cut
2,2,2,2,1,2,2,3,2,2,13.117,netplay
3,1,2,3,3,1,2,1,2,2,26.422,lob
2,3,1,3,4,1,2,2,2,3,29.041,long
2,4,1,3,3,1,2,2,3,3,40.91,long
2,3,1,3,4,1,3,2,2,4,30.206,long
2,4,1,2,2,2,3,2,3,3,72.117,smash
3,2,2,3,2,2,3,3,3,3,38.865,netplay
2,2,2,2,5,0,3,2,3,3,32.196,lob
3,2,2,2,4,1,2,2,3,2,16.014,long
3,4,1,2,1,2,2,4,2,3,32.833,cut
3,1,2,2,4,1,3,2,3,2,22.658,lob
3,4,1,3,2,2,2,5,2,3,89.972,smash
2,2,2,2,4,1,2,3,2,3,28.896,lob
3,4,1,3,2,2,2,2,2,3,66.859,cut
2,2,2,3,1,2,2,3,2,3,20.662,netplay
2,1,2,2,2,2,3,2,3,3,13.972,netplay
3,2,2,2,4,2,3,2,3,2,29.293,lob
3,4,2,3,2,2,2,3,2,3,29.652,drive
3,2,2,2,1,2,2,2,3,2,23.007,netplay
3,1,2,2,1,2,3,2,3,2,14.758,netplay
3,1,2,3,3,1,2,1,2,2,23.202,lob
2,3,1,2,2,2,2,2,2,4,43.392,cut
3,2,2,3,1,2,2,2,2,3,13.074,netplay
2,1,2,2,1,2,2,2,2,2,4.629,netplay
3,1,2,3,3,1,2,1,2,2,16.347,lob
2,3,1,3,2,0,2,2,2,5,59.746,smash
3,2,2,3,4,1,3,2,2,2,15.685,long
2,4,1,3,1,2,3,5,3,3,36.125,cut
2,1,2,2,1,2,3,3,2,2,11.102,netplay
3,1,2,2,3,1,2,1,2,2,18.069,lob
3,3,1,3,2,2,3,2,3,3,50.572,cut
2,2,2,2,4,2,3,2,3,3,24.728,lob
3,4,2,3,1,1,3,2,3,4,27.596,cut
2,1,1,3,2,0,3,1,3,3,44.823,rush
3,2,2,2,1,2,2,2,3,2,23.956,netplay
3,1,2,2,3,1,3,2,3,2,31.311,lob
3,3,1,2,2,2,2,4,3,3,115.86,smash
3,2,2,3,1,2,2,4,2,3,18.601,netplay
2,1,2,2,1,2,3,2,3,3,9.378,netplay
3,1,2,2,3,1,3,2,3,2,17.394,lob
3,3,1,2,2,2,2,4,2,3,67.97,smash
