Real,Predict
2,2
1,2
2,4
6,6
3,2
6,0
4,4
0,0
2,0
3,2
0,0
2,3
0,3
2,2
4,0
2,2
0,6
4,4
4,4
3,3
0,0
2,2
3,3
0,0
4,4
2,2
6,6
4,4
5,4
2,2
3,3
0,0
4,4
2,2
3,3
6,0
4,4
