Real,Predict
3,2
6,3
4,2
5,4
3,2
0,4
2,4
6,2
4,2
3,2
0,3
2,6
3,0
3,4
0,2
3,2
0,2
4,4
2,2
0,0
4,6
3,2
3,6
3,6
0,4
0,2
2,0
0,2
4,2
2,2
3,2
0,3
4,4
4,3
2,2
3,2
0,2
4,4
2,4
3,2
3,3
0,0
4,0
2,2
0,6
2,3
0,2
4,2
4,0
2,4
3,2
3,2
3,4
0,3
4,3
2,2
3,6
6,3
4,3
0,4
3,4
3,0
