rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
1.0,1.0,00:51:24.800,77120.0,B,1.0,發長球,,,B2,171.0,230.0,2.0,,,0,0,,B4,265.0,927.0,1.0,,,,,,,,,,90.0,10.0,70.0,70.0,17.75,30.25,35.07313786931532,30.75,284.25,285.90842065248796,,9.0,,
1.0,2.0,00:51:26.800,77170.0,A,,長球,,,B4,265.0,927.0,1.0,,,0,0,,A4,335.0,53.0,1.0,,,,,,,,,,60.0,20.0,70.0,60.0,4.0,33.0,33.24154027718932,21.75,221.0,222.06769801121456,,1017.8295535108027,,
1.0,3.0,00:51:27.800,77195.0,B,,殺球,1.0,,A4,335.0,53.0,1.0,,,0,0,,B3,382.0,757.0,2.0,,,,,,,,,,10.0,90.0,30.0,40.0,4.75,24.75,25.201686451505577,3.25,206.0,206.02563554082295,,10.0,,
1.0,4.0,00:51:28.320,77208.0,A,,擋小球,,,B3,382.0,757.0,2.0,,,0,0,,A2,337.0,327.0,1.0,,,,,,,,,,50.0,10.0,30.0,80.0,38.75,32.75,50.73583546173257,24.25,178.0,179.64426653806683,,726.2155327449283,,
1.0,5.0,00:51:29.080,77227.0,B,,撲球,1.0,,A2,337.0,327.0,1.0,,,0,0,,A3,81.0,847.0,2.0,,,,,,,,,,10.0,0.0,40.0,60.0,7.75,57.49999999999999,58.019931919987634,58.99999999999999,224.00000000000003,231.63980659636198,,154.67385040788247,,
1.0,6.0,00:51:29.720,77243.0,A,,未擊球,,,A3,81.0,847.0,2.0,落地,撲球得分,0,1,B,,,,,,,,,,,,,,20.0,20.0,70.0,60.0,32.0,53.0,61.91122676865643,34.25,233.5,235.99854342770846,,1021.7401822381265,,
2.0,1.0,00:51:44.680,77617.0,B,1.0,發長球,,,B2,206.0,258.0,2.0,,,0,1,,A4,73.0,926.0,1.0,,,,,,,,,,60.0,10.0,0.0,80.0,6.5,12.25,13.867678248358663,2.5,9.5,9.82344135219425,,169.2572007330855,,
2.0,2.0,00:51:46.720,77668.0,A,,切球,1.0,,A4,73.0,926.0,1.0,,,0,1,,A2,345.0,310.0,2.0,,,,,,,,,,90.0,80.0,0.0,80.0,42.25,7.000000000000001,42.825955914608606,30.0,275.5,277.1285802655511,,96.56603957913983,,
2.0,3.0,00:51:47.640,77691.0,B,,挑球,,1.0,A2,345.0,310.0,2.0,,,0,1,,B3,276.0,847.0,1.0,,,,,,,,,,10.0,90.0,10.0,40.0,29.749999999999996,5.25,30.20968387785612,84.75,263.5,276.7938086374043,,961.9033215453619,,
2.0,4.0,00:51:48.760,77719.0,A,,殺球,,,B3,276.0,847.0,1.0,,,0,1,,A3,346.0,153.0,2.0,,,,,,,,,,50.0,0.0,40.0,20.0,23.75,85.0,88.25566554051926,31.5,214.5,216.80059963016708,,179.53551180755298,,
2.0,5.0,00:51:49.200,77730.0,B,,擋小球,,1.0,A3,346.0,153.0,2.0,,,0,1,,F2,451.0,679.0,2.0,,,,,,,,,,60.0,60.0,40.0,40.0,26.5,61.0,66.50751837198558,21.0,223.49999999999997,224.48440925819324,,918.252688534044,,
2.0,6.0,00:51:50.520,77763.0,B,,未過網,,,F2,451.0,679.0,2.0,未回擊成功,殺球得分,1,1,A,,,,,,,,,,,,,,0.0,30.0,60.0,10.0,62.5,81.75,102.90438523211729,34.0,292.25,294.22111158106924,,1081.449490267576,,
3.0,1.0,00:52:05.360,78134.0,A,1.0,發長球,,,B2,222.0,688.0,2.0,,,1,1,,B2,222.0,688.0,1.0,,,,,,,,,,30.0,20.0,0.0,10.0,24.25,45.5,51.55882562665678,42.5,255.25000000000003,258.76400928258937,,138.31124321616085,,
3.0,2.0,00:52:07.520,78188.0,B,,切球,1.0,,A4,257.0,33.0,1.0,,,1,1,,A1,88.0,602.0,2.0,,,,,,,,,,20.0,0.0,50.0,60.0,52.0,17.5,54.86574523325095,3.75,235.99999999999997,236.02979155182933,,1017.9950883967957,,
3.0,3.0,00:52:08.320,78208.0,A,,挑球,,1.0,A1,88.0,602.0,2.0,,,1,1,,D4,31.0,40.0,2.0,,,,,,,,,,40.0,60.0,30.0,10.0,8.5,3.5000000000000004,9.192388155425117,6.75,212.75,212.85705297217658,,188.1116689628796,,
3.0,4.0,00:52:09.680,78242.0,B,,未擊球,,,D4,31.0,40.0,2.0,落地,對方失誤,2,1,A,,,,,,,,,,,,,,20.0,30.0,70.0,70.0,48.0,93.25,104.87879909686228,31.75,163.25,166.30882417959668,,1023.8945258179673,,
4.0,1.0,00:52:24.960,78624.0,A,1.0,發長球,,,B2,226.0,693.0,2.0,,,2,1,,B4,80.0,6.0,1.0,,,,,,,,,,50.0,0.0,60.0,10.0,36.25,67.5,76.61796460360978,53.5,212.75,219.37368233222506,,51.0,,
4.0,2.0,00:52:27.160,78679.0,B,,長球,,,B4,80.0,6.0,1.0,,,2,1,,B3,335.0,864.0,1.0,,,,,,,,,,40.0,60.0,80.0,60.0,14.000000000000002,31.0,34.0147027033899,0.5,271.0,271.00046125422,,865.057801536984,,
4.0,3.0,00:52:28.280,78707.0,A,,切球,,,B3,335.0,864.0,1.0,,,2,1,,B2,41.0,194.0,2.0,,,,,,,,,,20.0,30.0,50.0,60.0,3.0,15.75,16.033168744823964,13.75,216.5,216.93619453655032,,177.61193653580833,,
4.0,4.0,00:52:28.960,78724.0,B,,未擊球,,,B2,41.0,194.0,2.0,落地,切球質量佳,3,1,A,,,,,,,,,,,,,,10.0,60.0,20.0,80.0,24.75,56.49999999999999,61.68316220817477,10.5,150.5,150.86583443576615,,970.7399239755208,,
5.0,1.0,00:52:50.680,79267.0,A,1.0,發長球,,,B2,227.0,675.0,2.0,,,3,1,,A4,255.0,37.0,1.0,,,,,,430,-149,421,-149,50.0,50.0,30.0,40.0,23.75,46.25,51.99158585771355,20.75,206.0,207.04241715165517,,90.0,,4
5.0,2.0,00:52:52.840,79321.0,B,,切球,,,A4,255.0,37.0,1.0,,,3,1,,B2,288.0,684.0,2.0,600.0,430,-149,421,-149,359,-28,298,988,90.0,0.0,40.0,40.0,25.25,62.5,67.40780741130807,26.5,221.49999999999997,223.07958221226792,1.060725642609289,804.3742909864785,4,1
5.0,3.0,00:52:53.440,79336.0,A,,挑球,,,B2,288.0,684.0,2.0,,,3,1,,A3,308.0,180.0,1.0,600.0,359,-28,298,988,375,104,385,104,20.0,0.0,10.0,40.0,30.5,57.49999999999999,65.08840142452416,32.75,216.0,218.4686762444447,0.632517566730144,97.26767191621273,1,2
5.0,4.0,00:52:54.040,79351.0,B,,擋小球,,1.0,A3,308.0,180.0,1.0,,,3,1,,B1,304.0,565.0,2.0,680.0,375,104,385,104,356,203,398,928,30.0,60.0,70.0,40.0,5.75,3.5000000000000004,6.73145600891813,4.25,239.0,239.03778467012282,0.6786908098669996,987.4107554609682,2,1
5.0,5.0,00:52:54.720,79368.0,A,,放小球,,,B1,304.0,565.0,2.0,,,3,1,,B1,99.0,370.0,2.0,960.0,356,203,398,928,201,334,301,216,80.0,30.0,80.0,50.0,4.5,8.25,9.39747306460625,30.5,211.24999999999997,213.44041908691992,0.3298421504053534,170.3907274472411,1,2
5.0,6.0,00:52:55.680,79392.0,B,,挑球,,,B1,99.0,370.0,2.0,,,3,1,,A3,64.0,876.0,1.0,1320.0,201,334,301,216,232,104,65,1112,20.0,10.0,90.0,90.0,22.0,32.25,39.03924307667862,12.25,207.75,208.11084786718828,0.2639531904163044,945.9175439751607,2,1
5.0,7.0,00:52:57.000,79425.0,A,,切球,1.0,,A3,64.0,876.0,1.0,,,3,1,,B2,84.0,326.0,2.0,960.0,232,104,65,1112,104,316,202,178,50.0,0.0,30.0,70.0,6.25,27.5,28.201285431696192,29.249999999999996,224.25,226.1495633424924,0.37607088125205124,80.0,1,2
5.0,8.0,00:52:57.960,79449.0,B,,擋小球,,,B2,84.0,326.0,2.0,,,3,1,,A1,285.0,465.0,2.0,640.0,104,316,202,178,130,267,212,216,50.0,40.0,0.0,50.0,23.75,24.0,33.76481156470446,10.0,236.24999999999997,236.46154549947437,0.029408640976122984,814.213731154173,2,2
5.0,9.0,00:52:58.600,79465.0,B,,掛網球,,,A1,285.0,465.0,2.0,未回擊成功,對方失誤,4,1,A,,,,,,130,267,212,216,,,,,90.0,40.0,90.0,50.0,10.25,14.000000000000002,17.351152699460634,10.25,13.75,17.150072886142496,,134.27211177307072,2,
6.0,1.0,00:53:13.520,79838.0,A,1.0,發長球,,,B2,242.0,686.0,2.0,,,4,1,,B4,146.0,17.0,1.0,,,,,,,,,,10.0,80.0,10.0,50.0,14.749999999999998,2.0,14.884975646604195,82.25,251.25,264.37024227397455,,899.3519889342548,,
6.0,2.0,00:53:15.760,79894.0,B,,切球,,,B4,146.0,17.0,1.0,,,4,1,,B2,373.0,644.0,2.0,,,,,,268,35,365,992,50.0,60.0,10.0,20.0,71.25,144.0,160.6628846373673,12.75,134.5,135.1029699895602,,84.87638069569178,,1
6.0,3.0,00:53:16.560,79914.0,A,,挑球,,,B2,373.0,644.0,2.0,,,4,1,,A3,364.0,109.0,1.0,920.0,268,35,365,992,437,63,485,-110,40.0,50.0,40.0,80.0,28.999999999999996,21.25,35.95222524406521,4.0,312.0,312.0256399721023,0.604458515434192,85.44588931013593,1,4
6.0,4.0,00:53:17.480,79937.0,B,,長球,1.0,,A3,364.0,109.0,1.0,,,4,1,,A3,81.0,863.0,1.0,1240.0,437,63,485,-110,318,42,146,944,50.0,10.0,70.0,80.0,38.75,52.74999999999999,65.45322757511657,48.25,252.99999999999997,257.55982314794363,0.4556367755437302,32.0,4,1
6.0,5.0,00:53:18.720,79968.0,A,,長球,1.0,,A3,81.0,863.0,1.0,,,4,1,,B4,146.0,14.0,1.0,,318,42,146,944,,,,,0.0,10.0,10.0,0.0,10.0,42.25,43.41730645721819,12.25,202.5,202.8701863261332,,1025.0136584455838,1,
6.0,6.0,00:53:20.280,80007.0,B,,長球,,,B4,146.0,14.0,1.0,,,4,1,,B3,336.0,881.0,2.0,,,,,,261,35,359,1112,80.0,90.0,50.0,60.0,2.0,22.75,22.83774288321856,3.75,206.0,206.03412945432123,,152.620444239951,,1
