rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
3.0,3.0,00:27:08.960,40724.0,A,,切球,,,B4,78.0,22.0,1.0,,,1,1,,A1,76.0,524.0,2.0,880.0,170,-103,191,-103,166,91,176,940,20.0,90.0,30.0,90.0,14.499999999999998,9.75,17.47319375500655,5.75,207.75,207.82955757062084,0.7029238118961247,1062.870170811092,4,1
3.0,4.0,00:27:09.840,40746.0,B,,挑球,,1.0,A1,76.0,524.0,2.0,,,1,1,,A4,291.0,32.0,1.0,1400.0,166,91,176,940,398,-7,372,21,0.0,20.0,40.0,50.0,10.0,27.0,28.792360097775937,9.0,196.25,196.4562610353765,0.39406842485714044,113.1591799192624,1,3
3.0,5.0,00:27:11.240,40781.0,A,,長球,1.0,,A4,291.0,32.0,1.0,,,1,1,,B3,341.0,878.0,1.0,1040.0,398,-7,372,21,345,-43,388,1019,20.0,30.0,50.0,30.0,54.5,78.25,95.35886167525281,33.75,149.25,153.01838124878984,0.46284195938128314,803.0504342816832,3,1
3.0,6.0,00:27:12.280,40807.0,B,,切球,,,B3,341.0,878.0,1.0,,,1,1,,A2,366.0,284.0,2.0,1040.0,345,-43,388,1019,475,297,412,203,20.0,60.0,50.0,20.0,8.0,56.00000000000001,56.5685424949238,36.25,210.5,213.5984843111018,0.24052495903161436,112.2007130102122,1,2
3.0,7.0,00:27:13.320,40833.0,A,,挑球,,1.0,A2,366.0,284.0,2.0,,,1,1,,B3,363.0,834.0,1.0,800.0,475,297,412,203,391,125,400,928,0.0,30.0,60.0,40.0,47.5,1.7500000000000002,47.53222591042839,8.5,249.00000000000003,249.1450380802315,0.35079429959022995,826.1186355481881,2,1
3.0,8.0,00:27:14.120,40853.0,B,,殺球,,,B3,363.0,834.0,1.0,,,1,1,,A3,374.0,96.0,2.0,480.0,391,125,400,928,333,164,423,97,30.0,30.0,10.0,20.0,18.25,95.75,97.47371440547447,35.25,184.5,187.8371967955229,0.8258051889334702,128.3160161476345,1,2
3.0,9.0,00:27:14.600,40865.0,A,,擋小球,,1.0,A3,374.0,96.0,2.0,,,1,1,,A1,212.0,492.0,2.0,800.0,333,164,423,97,373,56,387,882,50.0,30.0,20.0,30.0,23.75,29.249999999999996,37.677911300920066,34.5,148.25,152.21140725977142,0.4231323854599172,1004.2031666948676,2,1
3.0,10.0,00:27:15.400,40885.0,B,,放小球,,1.0,A1,212.0,492.0,2.0,,,1,1,,B1,86.0,362.0,2.0,920.0,373,56,387,882,155,369,252,285,10.0,50.0,30.0,10.0,12.75,108.74999999999999,109.49486289319694,38.25,259.75,262.55118548580197,0.24622924235772747,15.652475842498529,1,1
3.0,11.0,00:27:16.320,40908.0,A,,挑球,,,B1,86.0,362.0,2.0,,,1,1,,B4,310.0,888.0,1.0,1440.0,155,369,252,285,187,145,397,1127,60.0,80.0,0.0,10.0,16.0,49.5,52.02163011671203,0.0,332.75,332.75,0.22321096227684598,1027.12852165637,1,2
3.0,12.0,00:27:17.760,40944.0,B,,殺球,,,B4,310.0,888.0,1.0,,,1,1,,A3,389.0,89.0,2.0,680.0,187,145,397,1127,377,138,363,131,80.0,80.0,10.0,40.0,42.0,7.000000000000001,42.579337712087536,15.25,276.5,276.92022768299177,0.7463669938082517,100.89598604503551,2,2
3.0,13.0,00:27:18.440,40961.0,A,,未擊球,,,A3,389.0,89.0,2.0,落地,殺球精準,1,2,B,,,,,,377,138,363,131,,,,,70.0,50.0,30.0,50.0,8.25,8.75,12.026013470805694,54.25,228.75,235.0949276356255,,615.6565601047389,2,
4.0,1.0,00:27:48.680,41717.0,B,1.0,發長球,,,B2,268.0,679.0,2.0,,,1,2,,B5,90.0,-48.0,2.0,,,,,,,,,,0.0,10.0,10.0,80.0,80.0,107.74999999999999,134.20157413383794,9.75,158.0,158.30054485061004,,35.90264614203248,,
4.0,2.0,00:27:51.000,41775.0,A,,未擊球,,,B5,90.0,-48.0,2.0,出界,對方失誤,2,2,A,,,,,,,,,,,,,,50.0,40.0,90.0,80.0,23.75,81.5,84.89000235599008,10.25,192.0,192.27340559734205,,1145.2868636284973,,
,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,0.0,60.0,70.0,40.0,25.0,21.0,32.64965543462902,8.25,271.5,271.62531638269655,,10.63014581273465,,
