rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
4.0,3.0,00:52:28.280,78707.0,A,,切球,,,B3,335.0,864.0,1.0,,,2,1,,B2,41.0,194.0,2.0,720.0,402,279,271,899,412,145,445,35,40.0,40.0,60.0,0.0,3.5000000000000004,56.00000000000001,56.10926839658489,3.5000000000000004,175.0,175.03499650069983,0.7047362368860046,114.84337159801605,1,2
4.0,4.0,00:52:28.960,78724.0,B,,未擊球,,,B2,41.0,194.0,2.0,落地,切球質量佳,3,1,A,,,,,720.0,412,145,445,35,426,369,431,735,90.0,10.0,30.0,50.0,22.75,14.749999999999998,27.113188672673672,21.75,106.25,108.45333097696907,0.6416666666666667,366.0341514121326,2,1
5.0,1.0,00:52:50.680,79267.0,A,1.0,發長球,,,B2,227.0,675.0,2.0,,,3,1,,A4,255.0,37.0,1.0,1320.0,426,369,431,735,335,310,344,310,0.0,50.0,0.0,50.0,65.0,41.25,76.9841704508141,60.0,46.25,75.7566003725088,0.19533852558467346,9.0,1,1
5.0,2.0,00:52:52.840,79321.0,B,,切球,,,A4,255.0,37.0,1.0,,,3,1,,B2,288.0,684.0,2.0,1760.0,335,310,344,310,75,145,104,125,50.0,10.0,20.0,40.0,33.75,22.25,40.424311991671544,17.0,216.0,216.6679487141557,0.17338857408712646,35.22782990761707,1,2
5.0,3.0,00:52:53.440,79336.0,A,,挑球,,,B2,288.0,684.0,2.0,,,3,1,,A3,308.0,180.0,1.0,,75,145,104,125,,,,,80.0,90.0,80.0,0.0,4.5,5.25,6.914658342969665,8.0,229.99999999999997,230.13908837917992,,57.584720195551874,2,
5.0,4.0,00:52:54.040,79351.0,B,,擋小球,,1.0,A3,308.0,180.0,1.0,,,3,1,,B1,304.0,565.0,2.0,,,,,,303,138,323,84,30.0,90.0,0.0,80.0,0.75,17.75,17.765838004439868,7.5,237.0,237.11864119043867,,903.1998671390513,,2
5.0,5.0,00:52:54.720,79368.0,A,,放小球,,,B1,304.0,565.0,2.0,,,3,1,,B1,99.0,370.0,2.0,1080.0,303,138,323,84,168,49,255,948,60.0,50.0,30.0,70.0,1.0,3.75,3.8810436740650056,1.7500000000000002,245.75,245.7562308467478,0.37090066203418093,37.0,2,1
5.0,6.0,00:52:55.680,79392.0,B,,挑球,,,B1,99.0,370.0,2.0,,,3,1,,A3,64.0,876.0,1.0,520.0,168,49,255,948,186,28,223,28,10.0,0.0,10.0,60.0,42.75,75.0,86.32822539586923,32.75,14.000000000000002,35.61688504066576,0.9049078257352641,1019.0078508039081,1,3
5.0,7.0,00:52:57.000,79425.0,A,,切球,1.0,,A3,64.0,876.0,1.0,,,3,1,,B2,84.0,326.0,2.0,1040.0,186,28,223,28,189,-43,193,976,90.0,80.0,40.0,20.0,7.249999999999999,7.000000000000001,10.077822185373186,26.0,219.49999999999997,221.0344995696373,0.4218343860573187,51.0098029794274,3,1
5.0,8.0,00:52:57.960,79449.0,B,,擋小球,,,B2,84.0,326.0,2.0,,,3,1,,A1,285.0,465.0,2.0,600.0,189,-43,193,976,185,-58,186,-7,90.0,10.0,80.0,90.0,5.25,35.25,35.638813111550164,17.0,279.75,280.26605663190827,0.8317171828345391,196.9009903479411,1,4
5.0,9.0,00:52:58.600,79465.0,B,,掛網球,,,A1,285.0,465.0,2.0,未回擊成功,對方失誤,4,1,A,,,,,640.0,185,-58,186,-7,356,242,317,49,70.0,90.0,80.0,40.0,18.25,4.75,18.85802216564611,25.5,26.5,36.776351096866584,0.36471909674604375,920.2396427018344,4,2
6.0,1.0,00:53:13.520,79838.0,A,1.0,發長球,,,B2,242.0,686.0,2.0,,,4,1,,B4,146.0,17.0,1.0,,356,242,317,49,,,,,20.0,30.0,20.0,0.0,53.0,38.25,65.3610166689595,10.5,202.5,202.77203949262827,,55.78530272392541,2,
6.0,2.0,00:53:15.760,79894.0,B,,切球,,,B4,146.0,17.0,1.0,,,4,1,,B2,373.0,644.0,2.0,,,,,,,,,,60.0,0.0,60.0,80.0,13.5,72.5,73.74618634207467,6.0,209.50000000000003,209.58590124338042,,1002.2539598325367,,
6.0,3.0,00:53:16.560,79914.0,A,,挑球,,,B2,373.0,644.0,2.0,,,4,1,,A3,364.0,109.0,1.0,,,,,,291,28,270,948,80.0,40.0,70.0,80.0,29.499999999999996,46.0,54.646591842492796,19.25,223.0,223.8293155509349,,874.4626921715986,,1
6.0,4.0,00:53:17.480,79937.0,B,,長球,1.0,,A3,364.0,109.0,1.0,,,4,1,,A3,81.0,863.0,1.0,1160.0,291,28,270,948,320,56,374,70,40.0,50.0,70.0,60.0,21.5,31.25,37.931682008579585,30.75,208.99999999999997,211.24999999999997,0.370837230047174,111.13955191559843,1,3
6.0,5.0,00:53:18.720,79968.0,A,,長球,1.0,,A3,81.0,863.0,1.0,,,4,1,,B4,146.0,14.0,1.0,600.0,320,56,374,70,299,197,442,1189,30.0,10.0,10.0,10.0,18.25,22.75,29.165476166179765,22.75,207.24999999999997,208.49490401446266,1.050730235492335,69.42621983083913,3,2
6.0,6.0,00:53:20.280,80007.0,B,,長球,,,B4,146.0,14.0,1.0,,,4,1,,B3,336.0,881.0,2.0,720.0,299,197,442,1189,226,216,340,1083,20.0,30.0,30.0,10.0,23.0,19.25,29.99270744697784,6.75,220.25,220.3534093223883,0.1357172589714221,1078.6806756403862,2,2
6.0,7.0,00:53:21.520,80038.0,A,,過渡切球,,,B3,336.0,881.0,2.0,,,4,1,,B1,85.0,352.0,2.0,29520.0,226,216,340,1083,438,369,382,273,90.0,80.0,80.0,60.0,2.75,24.5,24.653853654145024,34.5,213.49999999999997,216.26950779062682,0.011930721660808453,35.0,2,1
6.0,8.0,00:53:22.600,80065.0,B,,挑球,,,B1,85.0,352.0,2.0,,,4,1,,B4,302.0,910.0,1.0,,438,369,382,273,,,,,30.0,10.0,90.0,80.0,49.25,57.75,75.89878128138818,75.25,219.49999999999997,232.04054063891508,,961.0020811631991,1,
6.0,9.0,00:53:23.840,80096.0,A,,長球,,,B4,302.0,910.0,1.0,,,4,1,,A4,356.0,39.0,1.0,,,,,,230,210,276,158,60.0,40.0,90.0,10.0,1.0,1.5,1.8027756377319946,22.25,187.25,188.56729567981824,,44.01136216933077,,2
6.0,10.0,00:53:25.080,80127.0,B,,切球,1.0,,A4,356.0,39.0,1.0,,,4,1,,A2,104.0,617.0,2.0,920.0,230,210,276,158,176,-80,252,996,30.0,50.0,30.0,0.0,21.75,43.75,48.85821322971195,38.25,220.0,223.30038625134526,0.3008278590093405,1004.2957731664512,2,1
6.0,11.0,00:53:25.880,80147.0,A,,挑球,,1.0,A2,104.0,617.0,2.0,,,4,1,,B4,105.0,49.0,2.0,1200.0,176,-80,252,996,294,104,329,104,70.0,70.0,40.0,0.0,44.25,36.75,57.52064846644203,11.5,252.5,252.76174552332876,0.30598457885978503,65.76473218982953,1,2
6.0,12.0,00:53:27.160,80179.0,B,,過渡切球,,,B4,105.0,49.0,2.0,,,4,1,,A1,125.0,536.0,2.0,1160.0,294,104,329,104,208,-21,206,940,70.0,0.0,20.0,70.0,34.25,42.5,54.583078879814025,2.0,189.25,189.26056773665243,0.3194317422095595,696.419413859206,2,1
6.0,13.0,00:53:27.960,80199.0,A,,放小球,,1.0,A1,125.0,536.0,2.0,,,4,1,,A1,337.0,374.0,2.0,920.0,208,-21,206,940,281,70,297,111,50.0,90.0,40.0,80.0,28.749999999999996,12.25,31.25099998400051,6.0,208.0,208.08652046684813,0.41087100298805257,60.21627686929839,1,2
6.0,14.0,00:53:28.840,80221.0,B,,挑球,,1.0,A1,337.0,374.0,2.0,,,4,1,,A4,117.0,884.0,1.0,1240.0,281,70,297,111,373,-7,270,992,20.0,10.0,80.0,10.0,12.0,67.75,68.80452383382942,15.5,215.24999999999997,215.80735043088777,0.3252512936273175,102.23991392797629,2,1
