frame,top_x,top_y,bot_x,bot_y
7766,316,184,270,952
7767,324,210,275,940
7768,315,216,280,944
7769,312,178,280,932
7770,304,242,282,928
7771,301,223,296,969
7772,297,235,292,932
7773,276,171,303,972
7774,268,164,307,944
7775,273,229,314,940
7776,268,203,322,948
7777,268,248,323,940
7778,268,235,325,940
7779,269,229,327,916
7780,268,223,324,920
7781,269,203,325,920
7782,279,197,326,956
7783,290,145,326,952
7784,296,184,327,961
7785,291,178,325,984
7786,290,178,327,969
7787,282,184,318,965
7788,292,191,317,992
7789,282,178,324,992
7790,276,131,323,992
7791,272,97,324,992
7792,269,70,324,992
7793,274,70,324,1023
7794,270,-36,324,1000
7795,258,-65,320,996
7796,246,-73,321,992
7797,257,-50,319,1008
7798,251,-58,319,1004
7799,242,-36,327,1012
7800,234,-126,323,1012
7801,231,-103,324,992
7802,221,-133,322,1000
7803,218,-7,321,1008
7804,221,104,323,1012
7805,219,84,324,1016
7806,212,63,319,1019
7807,212,63,322,992
7808,218,91,322,988
7809,221,63,322,988
7810,225,49,321,992
7811,224,-28,320,992
7812,229,28,319,996
7813,242,21,318,1031
7814,263,63,317,1012
7815,279,49,316,1008
7816,286,-88,315,1031
7817,298,-28,314,1027
7818,297,-21,311,1027
7819,306,-28,311,1023
7820,318,70,315,1019
7821,310,28,315,1035
7822,315,14,315,1035
7823,329,14,315,1031
7824,342,-73,320,1023
7825,331,7,320,1016
7826,339,35,320,1023
7827,341,42,315,1000
7828,333,-7,313,1008
7829,335,0,314,1023
7830,353,28,308,988
7831,361,14,311,1016
7832,374,0,313,976
7833,381,7,311,992
7834,395,-21,307,996
7835,413,-73,306,1004
7836,413,-103,305,1000
7837,416,-58,304,1004
7838,413,-28,307,992
7839,418,-65,306,992
7840,418,-65,307,1046
7841,416,-28,307,1012
7842,454,-80,307,1016
7843,456,-126,307,1016
7844,453,-50,306,1012
7845,453,-73,308,1016
7846,456,-73,309,1012
7847,457,-73,308,988
7848,457,-73,308,988
7849,456,-58,309,984
7850,462,-58,309,988
7851,464,-36,309,1012
7852,459,-50,308,1008
7853,465,-95,309,1012
7854,459,-50,309,1008
7855,461,-65,309,1042
7856,456,-43,309,988
7857,451,-73,306,988
7858,458,-50,306,1019
7859,453,-65,307,1000
7860,435,-73,307,1004
7861,440,-88,307,1004
7862,436,-21,306,1000
7863,447,-28,308,1000
7864,434,-28,307,1000
7865,430,7,307,1008
7866,422,-43,306,1008
7867,410,28,313,1042
7868,401,14,312,1035
7869,418,-50,312,1035
7870,376,14,313,1016
7871,376,28,312,1031
7872,373,14,312,1012
7873,420,-36,312,1012
7874,407,-36,312,1035
7875,382,7,312,1016
7876,382,49,313,1023
7877,383,0,313,1046
7878,381,7,313,1027
7879,380,-7,314,988
7880,382,35,314,992
7881,381,7,314,969
7882,381,35,315,972
7883,379,70,318,972
7884,386,42,319,965
7885,383,91,318,972
7886,381,14,318,936
7887,313,14,315,932
7888,384,70,318,936
7889,376,21,323,944
7890,371,7,322,932
7891,363,14,322,932
7892,350,-50,326,936
7893,310,21,323,956
7894,308,42,316,924
7895,324,0,317,948
7896,311,35,318,936
7897,290,-14,319,944
7898,284,-28,319,948
7899,273,35,319,948
7900,254,35,320,924
7901,251,0,320,944
7902,248,56,319,948
7903,244,56,330,952
7904,247,14,323,961
7905,236,42,323,956
7906,239,49,322,932
7907,248,77,324,961
7908,262,-14,324,928
7909,243,84,339,1023
7910,239,63,339,1023
7911,234,21,339,1027
7912,239,14,332,1027
7913,246,84,333,1027
7914,232,28,326,969
7915,234,70,319,936
7916,240,77,320,932
7917,231,28,333,1027
7918,230,35,320,936
7919,242,84,319,932
7920,233,-7,326,956
7921,233,14,326,961
7922,231,56,342,1027
7923,223,63,320,936
7924,226,7,320,936
7925,224,7,341,1031
7926,224,14,320,940
7927,225,49,328,940
7928,212,-7,328,956
7929,220,42,327,956
7930,218,35,327,956
7931,232,84,328,956
7932,230,70,328,956
7933,234,77,327,940
7934,233,42,327,940
7935,230,77,327,940
7936,228,97,326,956
7937,237,70,326,956
7938,229,77,318,956
7939,220,49,326,956
7940,219,7,325,948
7941,219,7,325,952
7942,233,84,325,952
7943,227,84,325,952
7944,227,84,325,952
7945,228,84,325,948
7946,228,84,325,952
7947,229,70,325,948
7948,226,70,326,952
7949,127,138,326,952
7950,230,111,326,948
7951,226,91,324,932
7952,232,91,323,932
7953,228,91,323,961
7954,227,97,332,1019
7955,227,77,326,952
7956,237,42,323,944
7957,232,77,323,948
7958,229,84,320,924
7959,232,91,324,952
7960,242,77,323,928
7961,237,49,323,920
7962,229,70,321,924
7963,226,49,321,928
7964,217,35,321,912
7965,209,84,321,940
7966,217,28,321,924
7967,233,97,324,948
7968,231,56,321,940
7969,232,97,325,936
7970,237,77,326,928
7971,228,63,317,920
7972,229,63,318,932
7973,241,84,318,932
7974,120,125,310,936
7975,206,151,310,936
7976,261,310,310,936
8382,208,151,311,940
8383,209,138,311,912
8384,204,138,310,907
8385,209,111,311,903
8386,208,138,310,907
8387,208,138,307,907
8388,207,145,308,907
8389,210,151,308,907
8390,208,151,310,903
8391,208,138,308,903
8392,207,164,306,928
8393,206,158,312,932
8394,207,145,312,924
8395,206,158,312,903
8396,206,164,313,928
8397,206,138,313,928
8398,207,151,314,903
8399,207,131,313,903
8400,208,138,315,903
8401,201,158,314,903
8402,205,97,314,903
8403,208,151,314,903
8404,203,164,315,903
8405,208,145,309,899
8406,201,111,310,899
8407,201,118,310,936
8408,201,118,315,936
8409,201,118,308,940
8410,206,151,309,940
8411,201,118,312,912
8412,209,158,311,916
8413,209,138,312,920
8414,207,158,312,920
8415,208,151,311,912
8416,207,158,312,912
8417,201,111,312,912
8418,201,118,311,907
8419,199,63,311,916
8420,202,125,312,907
8421,200,63,310,907
8422,200,70,311,912
8423,207,151,311,912
8424,209,138,311,912
8425,209,138,311,912
8426,209,145,311,912
8427,204,145,311,912
